Model,Features,Accuracy,Precision,Recall,F1-score,OOB_Score
Random Forest,Uni,0.825,0.7954545454545454,0.875,0.8333333333333334,0.853125
Random Forest,Uni+Bi,0.8125,0.7551020408163265,0.925,0.8314606741573034,0.84375
